time,vehicle_id,edge_id,duration
48.0,13,-174032652#0,1.0
51.0,25,67792293#4,1.0
53.0,5,174274266#7,1.0
54.0,11,-174032652#0,1.0
54.0,41,170841497#7,1.0
59.0,9,-174032652#0,1.0
64.0,31,-174032652#0,1.0
66.0,20,67792293#4,1.0
67.0,17,174274266#7,1.0
70.0,7,174274266#7,1.0
73.0,46,67792293#4,1.0
74.0,18,174274266#7,1.0
74.0,0,67792293#4,1.0
76.0,30,174274266#7,1.0
77.0,36,67792293#3,1.0
77.0,37,170841497#7,1.0
79.0,34,67792293#3,1.0
80.0,44,-174032652#0,1.0
81.0,8,174274266#7,1.0
81.0,24,-174274266#1,1.0
86.0,32,67792293#3,1.0
91.0,16,174274266#7,1.0
97.0,48,67792293#3,1.0
97.0,17,174274266#7,1.0
98.0,7,174274266#7,1.0
100.0,18,174274266#7,1.0
101.0,30,174274266#7,1.0
103.0,8,174274266#7,1.0
105.0,16,174274266#7,1.0
146.0,48,174274266#7,1.0
150.0,41,174274266#7,1.0
164.0,42,-174274266#1,1.0
