time,gasoline_co2,av_co2,total_gasoline,total_av,gasoline_vehicles,av_vehicles,total_distance
1.0,2.624722222222222,0.0,2.624722222222222,0.0,1,0,0.0
2.0,5.584388395993635,0.0,8.209110618215856,0.0,2,0,1.3843032849719747
3.0,9.825240821805657,0.0,18.034351440021513,0.0,3,0,5.18539091614075
4.0,15.8834450664204,0.0,33.91779650644192,0.0,4,0,11.726430671056733
5.0,20.908929908467815,0.0,54.82672641490973,0.0,5,0,19.39852986971382
6.0,28.09100171781322,0.0,82.91772813272294,0.0,6,0,28.657369352085514
7.0,39.51340692634316,0.0,122.4311350590661,0.0,7,0,41.807908712560305
8.0,51.47020055229117,0.0,173.90133561135727,0.0,8,0,56.70420882985926
9.0,48.33757306099201,0.0,222.23890867234928,0.0,9,0,69.5648223488144
10.0,46.18097470461231,0.0,268.4198833769616,0.0,10,0,77.34890912979168
11.0,58.099323730306075,0.0,326.5192071072677,0.0,11,0,91.6960223311483
12.0,49.88610449121195,0.0,376.4053115984796,0.0,12,0,97.75128423185397
13.0,72.80683031127737,0.0,449.21214190975695,0.0,13,0,112.07325642222034
14.0,67.51456256592125,0.0,516.7267044756782,0.0,14,0,119.05568390943114
15.0,45.76071889164034,0.0,562.4874233673185,0.0,15,0,115.23826731479612
16.0,63.18223898246854,0.0,625.669662349787,0.0,16,0,123.15378498511782
17.0,51.17229163918121,0.0,676.8419539889683,0.0,17,0,130.85635692453326
18.0,65.95367379834273,0.0,742.795627787311,0.0,18,0,139.1836087405062
19.0,64.22155449786487,0.0,807.0171822851759,0.0,18,1,149.9636164469745
20.0,83.30888064387534,0.0,890.3260629290512,0.0,19,1,167.19686019438976
21.0,101.43578696285424,0.0,991.7618498919054,0.0,20,1,190.75415280277124
22.0,85.02332131453065,0.0,1076.785171206436,0.0,20,1,206.7350615456677
23.0,82.24869438774508,0.0,1159.033865594181,0.0,21,1,208.41644740074878
24.0,97.18639713369686,0.0,1256.2202627278778,0.0,23,1,216.3598833228536
25.0,101.0322280429077,0.0,1357.2524907707855,0.0,24,1,223.46583173149267
26.0,111.9426827902973,0.0,1469.1951735610828,0.0,24,1,236.68853264028684
27.0,122.65198122937149,0.0,1591.8471547904544,0.0,25,1,257.9429601115102
28.0,106.70131465155757,0.0,1698.548469442012,0.0,26,1,264.3360533068651
29.0,99.53758174140293,0.0,1798.0860511834148,0.0,25,2,258.91366679906497
30.0,83.7778852382241,0.0,1881.863936421639,0.0,26,2,261.37765940906496
31.0,80.24742831829474,0.0,1962.1113647399338,0.0,26,2,255.62657601941078
32.0,68.37791311109355,0.0,2030.4892778510273,0.0,26,2,255.52520472986384
